Overall Results,,,Results By Team,,,
Date,Location,Result,Date,Opponent,Result,Attendance
,,,"Yale (3-9-3, 2-4-1)",,,
,,,Date,Opponent,Result,Attendance
,,,08/29/2025,at Sacred Heart,L 1-3,300
,,,09/01/2025,Syracuse,L 0-1,688
,,,09/07/2025,Quinnipiac,T 2-2,274
,,,09/12/2025,at UC Irvine,L 0-1,387
,,,09/15/2025,at San Diego St.,L 0-2,266
,,,09/20/2025,at Massachusetts,T 2-2,317
,,,09/23/2025,New Hampshire,L 0-2,189
,,,09/27/2025,* at Cornell,L 1-3,850
,,,10/04/2025,* Columbia,W 1-0,453
,,,10/07/2025,New Haven,W 2-1,208
,,,10/11/2025,* at Harvard,T 1-1,917
,,,10/18/2025,* Dartmouth,L 0-1,273
,,,10/25/2025,* Princeton,L 0-4,253
,,,11/01/2025,* at Penn,L 0-3,197
,,,11/08/2025,* Brown,W 1-0,247
,,,,,,
,,,* = Conference game,,,
